GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos-app,com.increff.employee.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
pos-app,com.increff.employee.spring,ControllerConfig,146,0,0,0,32,0,9,0,9,0
pos-app,com.increff.employee.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
pos-app,com.increff.employee.spring,DbConfig,108,0,0,0,28,0,4,0,4,0
pos-app,com.increff.employee.service,InventoryService,93,0,4,0,23,0,11,0,9,0
pos-app,com.increff.employee.service,ProductService,99,0,6,0,27,0,13,0,10,0
pos-app,com.increff.employee.service,AboutAppService,9,0,0,0,3,0,3,0,3,0
pos-app,com.increff.employee.service,ApiException,4,0,0,0,2,0,1,0,1,0
pos-app,com.increff.employee.service,OrderItemService,103,0,4,0,24,0,10,0,8,0
pos-app,com.increff.employee.service,UserService,51,0,2,0,14,0,7,0,6,0
pos-app,com.increff.employee.service,BrandService,94,0,8,0,25,0,13,0,9,0
pos-app,com.increff.employee.service,OrderService,129,0,10,0,29,0,13,0,8,0
pos-app,com.increff.employee.util,CookieUtil,36,0,6,0,8,0,5,0,2,0
pos-app,com.increff.employee.util,UserPrincipal,17,0,0,0,7,0,5,0,5,0
pos-app,com.increff.employee.util,SecurityUtil,27,0,2,0,9,0,6,0,5,0
pos-app,com.increff.employee.util,BrandUtil,16,0,0,0,4,0,2,0,2,0
pos-app,com.increff.employee.util,ProductUtil,16,0,0,0,4,0,2,0,2,0
pos-app,com.increff.employee.util,IOUtil,11,0,2,0,7,0,3,0,2,0
pos-app,com.increff.employee.util,StringUtil,21,0,6,0,3,0,6,0,3,0
pos-app,com.increff.employee.util,OrderUtil,5,0,0,0,2,0,2,0,2,0
pos-app,com.increff.employee.controller,InitApiController,59,0,2,0,16,0,5,0,4,0
pos-app,com.increff.employee.controller,SampleController,46,0,0,0,12,0,2,0,2,0
pos-app,com.increff.employee.controller,AboutApiController,19,0,0,0,5,0,2,0,2,0
pos-app,com.increff.employee.controller,AbstractUiController,33,0,2,0,7,0,3,0,2,0
